bin,value
0,128
1,82
2,31
3,-14
4,-49
5,-69
6,-74
7,-68
8,-59
9,-53
10,-56
11,-68
12,-86
13,-104
14,-116
15,-117
16,-104
17,-77
18,-40
19,4
20,52
21,100
22,140
23,168
24,178
25,168
26,138
27,93
28,41
29,-9
30,-48
31,-73
32,-83
33,-82
34,-77
35,-73
36,-74
37,-81
38,-91
39,-99
40,-101
41,-93
42,-73
43,-43
44,-5
45,36
46,77
47,113
48,138
49,151
50,150
51,135
52,108
53,74
54,37
55,0
56,-31
57,-57
58,-76
59,-87
60,-92
61,-94
62,-94
63,-93
64,-91
65,-88
66,-79
67,-62
68,-35
69,1
70,44
71,86
72,120
73,139
74,141
75,127
76,103
77,76
78,53
79,39
80,33
81,31
82,29
83,19
84,-1
85,-32
86,-70
87,-107
88,-138
89,-154
90,-153
91,-132
92,-95
93,-45
94,8
95,60
96,103
97,133
98,149
99,150
100,139
101,118
102,92
103,63
104,33
105,5
106,-18
107,-36
108,-46
109,-51
110,-53
111,-56
112,-66
113,-83
114,-106
115,-127
116,-139
117,-132
118,-103
119,-53
120,11
121,78
122,137
123,176
124,192
125,184
126,158
127,120
128,78
129,36
130,0
131,-31
132,-52
133,-65
134,-69
135,-66
136,-60
137,-56
138,-58
139,-67
140,-83
141,-100
142,-111
143,-109
144,-91
145,-55
146,-8
147,45
148,96
149,139
150,167
151,178
152,171
153,149
154,113
155,69
156,22
157,-20
158,-55
159,-78
160,-87
161,-86
162,-81
163,-75
164,-75
165,-81
166,-90
167,-97
168,-97
169,-86
170,-60
171,-24
172,19
173,63
174,103
175,133
176,151
177,155
178,147
179,126
180,95
181,58
182,20
183,-16
184,-46
185,-68
186,-81
187,-88
188,-92
189,-95
190,-99
191,-102
192,-102
193,-96
194,-81
195,-57
196,-25
197,11
198,48
199,82
200,108
201,125
202,132
203,129
204,116
205,95
206,67
207,36
208,6
209,-21
210,-41
211,-56
212,-65
213,-74
214,-85
215,-99
216,-117
217,-132
218,-139
219,-131
220,-105
221,-62
222,-8
223,48
224,99
225,136
226,155
227,157
228,144
229,122
230,94
231,63
232,33
233,6
234,-16
235,-32
236,-42
237,-46
238,-48
239,-50
240,-57
241,-72
242,-93
243,-116
244,-133
245,-137
246,-122
247,-86
248,-35
249,24
250,84
251,133
252,165
253,177
254,168
255,143
256,105
257,61
258,17
259,-21
260,-50
261,-67
262,-72
263,-68
264,-60
265,-54
266,-54
267,-63
268,-79
269,-97
270,-111
271,-115
272,-104
273,-77
274,-37
275,11
276,63
277,112
278,151
279,176
280,184
281,172
282,143
283,100
284,50
285,1
286,-40
287,-68
288,-81
289,-82
290,-76
291,-69
292,-66
293,-71
294,-80
295,-89
296,-92
297,-84
298,-65
299,-34
300,3
301,43
302,80
303,111
304,134
305,147
306,149
307,139
308,118
309,86
310,48
311,9
312,-25
313,-52
314,-69
315,-77
316,-80
317,-82
318,-86
319,-93
320,-98
321,-99
322,-89
323,-68
324,-37
325,1
326,40
327,75
328,103
329,122
330,132
331,133
332,126
333,110
334,86
335,56
336,24
337,-4
338,-28
339,-43
340,-52
341,-59
342,-69
343,-84
344,-104
345,-124
346,-137
347,-134
348,-111
349,-69
350,-15
351,40
352,90
353,125
354,144
355,146
356,136
357,117
358,93
359,66
360,38
361,11
362,-11
363,-27
364,-36
365,-38
366,-38
367,-39
368,-48
369,-66
370,-91
371,-116
372,-134
373,-137
374,-121
375,-86
376,-36
377,20
378,78
379,127
380,163
381,181
382,179
383,158
384,121
385,75
386,26
387,-15
388,-45
389,-60
390,-60
391,-52
392,-44
393,-41
394,-48
395,-63
396,-84
397,-102
398,-113
399,-112
400,-98
401,-72
402,-36
403,5
404,50
405,95
406,134
407,164
408,176
409,169
410,141
411,97
412,46
413,-3
414,-43
415,-66
416,-74
417,-71
418,-65
419,-62
420,-66
421,-76
422,-89
423,-100
424,-102
425,-93
426,-73
427,-43
428,-9
429,27
430,63
431,95
432,120
433,137
434,142
435,135
436,114
437,82
438,44
439,4
440,-31
441,-58
442,-76
443,-86
444,-91
445,-94
446,-98
447,-102
448,-105
449,-103
450,-93
451,-74
452,-47
453,-12
454,24
455,60
456,90
457,113
458,126
459,129
460,122
461,106
462,82
463,53
464,23
465,-3
466,-24
467,-39
468,-49
469,-59
470,-71
471,-88
472,-108
473,-128
474,-140
475,-138
476,-117
477,-79
478,-28
479,25
480,75
481,113
482,137
483,145
484,140
485,126
486,105
487,78
488,49
489,21
490,-4
491,-23
492,-35
493,-40
494,-41
495,-43
496,-53
497,-71
498,-95
499,-121
500,-141
501,-145
502,-131
503,-96
504,-47
505,11
506,70
507,122
508,160
509,180
510,181
511,163
